id,name,blend,description,image,accentColor,lifestyleImage1,lifestyleImage2,roast,process,size,amazonLink,flipkartLink
1,"FLUTURE","50% Arabica, 50% Robusta","A strong and rich coffee blend with notes of nuts and dark chocolate. Carefully sourced beans delivering a bold and aromatic cup.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/fluture.png","#8B4513","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
2,"BORBOLETA","100% Robusta","A bold and intense full-bodied coffee with rich chocolatey notes. Carefully selected from the hills of Chikmagalur.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/borboleta.png","#5D3A1A","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
3,"IRAM SIP","70% Arabica, 30% Robusta","A robust aromatic coffee with nutty undertones, crafted from carefully balanced Arabica and Robusta beans.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/tram_sip.png","#1E3A8A","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
4,"PAPILLION","100% Arabica","A rich and smooth specialty Arabica coffee with delicate floral and nutty notes sourced from premium organic estates.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/papillion.png","#D4A574","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
5,"TITALEE","80% Arabica, 20% Robusta","A bold balanced coffee with hints of chocolate and spice from the rich soils of Chikmagalur.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/titalee.png","#A0522D","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
6,"FARASHA","35% Arabica, 65% Robusta","A full-bodied strong coffee with earthy and spicy undertones made from carefully selected beans.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/farasha.png","#C59A2D","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
7,"VLINDER","100% Arabica with Peppery Beans","A rich and smooth specialty coffee delivering berry and chocolate notes with a peppery twist.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/vlinder.png","#556B2F","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
8,"CLASSIC","Instant Agglomerated Coffee","Premium instant coffee offering superior taste and aroma with quick solubility for a rich cup in seconds.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/classic.png","#B91C1C","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
9,"FILTER COFFEE","80% Coffee, 20% Chicory","Authentic South Indian filter coffee with rich aroma and creamy froth made from carefully roasted beans and chicory.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/filter_coffee.png","#6B4423","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
10,"FILTER COFFEE DECOCTION","100% Arabica Decoction","Classic ready-to-use coffee decoction from Coorg, Karnataka. Simply mix with milk and sugar for traditional filter coffee.","https://pub-c641a041e83b46dab87fbaf70ba9df2b.r2.dev/images/filter_coffee_2.png","#4A2C1A","https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=400&q=80","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80","Medium","Washed","1 KG","#","#"
